x,y,topo,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,dep_top_1,dep_top_2,dep_top_3,dep_top_4,dep_top_5,dep_top_6,dep_top_7,dep_top_8,dep_top_9,dep_top_10,dep_top_11,dep_top_12,dep_bot_1,dep_bot_2,dep_bot_3,dep_bot_4,dep_bot_5,dep_bot_6,dep_bot_7,dep_bot_8,dep_bot_9,dep_bot_10,dep_bot_11,dep_bot_12
109057.3,453228.3,-5.31,75.81,85.23,90.49,87.46,77.73,64.73,51.39,39.48,29.72,22.19,16.59,12.46,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109056.4,453228.7,-5.31,76.89,85.55,90.18,86.85,77.1,64.2,50.97,39.15,29.46,21.97,16.42,12.38,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109055.4,453229,-5.31,76.85,85.05,89.39,86,76.35,63.6,50.52,38.81,29.2,21.77,16.28,12.28,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109054.5,453229.1,-5.32,77.74,85.96,89.46,85.34,75.36,62.62,49.7,38.18,28.74,21.45,16.08,12.39,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109053.5,453229.1,-5.3,77.91,85.95,90.16,86.66,76.94,64.13,50.94,39.1,29.37,21.84,16.31,12.52,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109052.5,453228.9,-5.28,77.13,85.38,90.38,87.67,78.36,65.56,52.16,40.03,30,22.24,16.52,12.58,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109051.6,453228.6,-5.29,77.99,86.18,90.28,86.87,77.29,64.52,51.3,39.36,29.51,21.87,16.21,12.41,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109050.7,453228,-5.29,80.19,87.13,90.46,86.76,77.13,64.38,51.19,39.27,29.42,21.77,16.04,12.25,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109050,453227.4,-5.22,79.6,84.92,91.04,90.36,82.26,69.58,55.58,42.58,31.73,23.29,17.01,11.88,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109049.4,453226.6,-5.27,81.77,89.25,93.47,90.3,80.6,67.36,53.48,40.91,30.53,22.51,16.52,12.3,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109049,453225.7,-5.26,82.32,89.25,93.5,90.57,81.02,67.8,53.88,41.24,30.8,22.73,16.8,12.79,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.6,453224.8,-5.28,81.7,88.12,92.58,89.83,80.37,67.25,53.44,40.91,30.59,22.63,16.82,12.96,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.3,453223.8,-5.31,79.67,87.27,91.6,88.14,78.25,65.13,51.63,39.52,29.6,21.98,16.44,12.78,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.1,453222.8,-5.3,76.3,83.79,90.03,88.13,79,66.07,52.46,40.15,30.03,22.26,16.59,12.51,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048,453221.8,-5.34,74.82,85.79,90.9,87.21,77.02,63.82,50.45,38.58,28.91,21.52,16.12,12.52,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048,453220.8,-5.34,75.45,85.76,91.17,87.78,77.67,64.4,50.89,38.88,29.1,21.63,16.2,12.32,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048,453219.8,-5.36,79.31,89.49,93.34,88.52,77.55,63.93,50.36,38.41,28.74,21.38,16.06,12.29,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.2,453218.9,-5.36,81.56,90.8,94.5,89.66,78.62,64.83,51.06,38.92,29.1,21.62,16.25,12.6,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.4,453217.9,-5.36,81.7,90.63,94.6,90.11,79.25,65.47,51.61,39.35,29.39,21.81,16.39,12.91,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109048.7,453216.9,-5.36,80.51,90.28,94.17,89.64,78.84,65.16,51.38,39.19,29.27,21.7,16.29,13.17,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109049,453216,-5.35,75.78,86.75,93.18,90.95,81.33,67.82,53.67,40.9,30.44,22.37,16.49,12.85,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109049.4,453215.1,-5.3,70.53,81.3,91.18,92.85,85.48,72.43,57.67,43.93,32.52,23.68,17.07,12.27,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109049.9,453214.2,-5.26,68.54,78.16,89.49,93.75,88.19,75.65,60.53,46.1,34.01,24.62,17.56,11.81,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109050.4,453213.3,-5.28,69.35,79.97,91.36,94.83,88.4,75.34,60.02,45.63,33.65,24.37,17.37,11.84,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109050.9,453212.5,-5.31,71.97,85.18,95.89,96.92,88.31,74.13,58.55,44.37,32.76,23.84,17.16,12.33,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109051.5,453211.6,-5.32,74.69,86.1,97.51,99.2,90.59,76.04,59.98,45.39,33.51,24.45,17.79,12.74,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109052.1,453210.8,-5.39,79.28,95.03,103.8,101.2,89.24,73.51,57.32,43.33,32.14,23.73,17.73,13.88,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109052.7,453210,-5.51,95.86,108.2,105,94.82,80.5,64.42,50.07,38.08,28.71,21.81,17.26,16.53,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
